ni,x,y,z,active,is_top
298,516137.14507,756405.236006,-2000.0,True,False
299,518637.14507,760735.363025,-2000.0,True,False
300,520720.478404,764343.802207,-2000.0,True,False
301,522387.14507,767230.553553,-2000.0,True,False
302,523637.14507,769395.617063,-2000.0,True,False
303,524470.478404,770838.992736,-2000.0,True,False
304,524887.14507,771560.680572,-2000.0,True,False
305,525095.478404,771921.524491,-2000.0,True,False
306,525303.811737,772282.368409,-2000.0,True,False
307,525512.14507,772643.212327,-2000.0,True,False
308,525720.478404,773004.056245,-2000.0,True,False
309,525928.811737,773364.900164,-2000.0,True,False
310,526137.14507,773725.744082,-2000.0,True,False
311,526345.478404,774086.588,-2000.0,True,False
312,526553.811737,774447.431918,-2000.0,True,False
313,526762.14507,774808.275836,-2000.0,True,False
314,526970.478404,775169.119755,-2000.0,True,False
315,527178.811737,775529.963673,-2000.0,True,False
316,527387.14507,775890.807591,-2000.0,True,False
317,527595.478404,776251.651509,-2000.0,True,False
318,527803.811737,776612.495428,-2000.0,True,False
319,528220.478404,777334.183264,-2000.0,True,False
320,529053.811737,778777.558937,-2000.0,True,False
321,530303.811737,780942.622447,-2000.0,True,False
322,531970.478404,783829.373793,-2000.0,True,False
323,534053.811737,787437.812975,-2000.0,True,False
324,536553.811737,791767.939994,-2000.0,True,False
325,515704.132369,756655.236006,-2000.0,True,False
326,518204.132369,760985.363025,-2000.0,True,False
327,520287.465702,764593.802207,-2000.0,True,False
328,521954.132369,767480.553553,-2000.0,True,False
329,523204.132369,769645.617063,-2000.0,True,False
330,524037.465702,771088.992736,-2000.0,True,False
331,524454.132369,771810.680572,-2000.0,True,False
332,524662.465702,772171.524491,-2000.0,True,False
333,524870.799035,772532.368409,-2000.0,True,False
334,525079.132369,772893.212327,-2000.0,True,False
335,525287.465702,773254.056245,-2000.0,True,False
336,525495.799035,773614.900164,-2000.0,True,False
337,525704.132369,773975.744082,-2000.0,True,False
338,525912.465702,774336.588,-2000.0,True,False
339,526120.799035,774697.431918,-2000.0,True,False
340,526329.132369,775058.275836,-2000.0,True,False
341,526537.465702,775419.119755,-2000.0,True,False
342,526745.799035,775779.963673,-2000.0,True,False
343,526954.132369,776140.807591,-2000.0,True,False
344,527162.465702,776501.651509,-2000.0,True,False
345,527370.799035,776862.495428,-2000.0,True,False
346,527787.465702,777584.183264,-2000.0,True,False
347,528620.799035,779027.558937,-2000.0,True,False
348,529870.799035,781192.622447,-2000.0,True,False
349,531537.465702,784079.373793,-2000.0,True,False
350,533620.799035,787687.812975,-2000.0,True,False
351,536120.799035,792017.939994,-2000.0,True,False
352,515271.119667,756905.236006,-2000.0,True,False
353,517771.119667,761235.363025,-2000.0,True,False
354,519854.453,764843.802207,-2000.0,True,False
355,521521.119667,767730.553553,-2000.0,True,False
356,522771.119667,769895.617063,-2000.0,True,False
357,523604.453,771338.992736,-2000.0,True,False
358,524021.119667,772060.680572,-2000.0,True,False
359,524229.453,772421.524491,-2000.0,True,False
360,524437.786333,772782.368409,-2000.0,True,False
361,524646.119667,773143.212327,-2000.0,True,False
362,524854.453,773504.056245,-2000.0,True,False
363,525062.786333,773864.900164,-2000.0,True,False
364,525271.119667,774225.744082,-2000.0,True,False
365,525479.453,774586.588,-2000.0,True,False
366,525687.786333,774947.431918,-2000.0,True,False
367,525896.119667,775308.275836,-2000.0,True,False
368,526104.453,775669.119755,-2000.0,True,False
369,526312.786333,776029.963673,-2000.0,True,False
370,526521.119667,776390.807591,-2000.0,True,False
371,526729.453,776751.651509,-2000.0,True,False
372,526937.786333,777112.495428,-2000.0,True,False
373,527354.453,777834.183264,-2000.0,True,False
374,528187.786333,779277.558937,-2000.0,True,False
375,529437.786333,781442.622447,-2000.0,True,False
376,531104.453,784329.373793,-2000.0,True,False
377,533187.786333,787937.812975,-2000.0,True,False
378,535687.786333,792267.939994,-2000.0,True,False
379,514838.106965,757155.236006,-2000.0,True,False
380,517338.106965,761485.363025,-2000.0,True,False
381,519421.440298,765093.802207,-2000.0,True,False
382,521088.106965,767980.553553,-2000.0,True,False
383,522338.106965,770145.617063,-2000.0,True,False
384,523171.440298,771588.992736,-2000.0,True,False
385,523588.106965,772310.680572,-2000.0,True,False
386,523796.440298,772671.524491,-2000.0,True,False
387,524004.773631,773032.368409,-2000.0,True,False
388,524213.106965,773393.212327,-2000.0,True,False
389,524421.440298,773754.056245,-2000.0,True,False
390,524629.773631,774114.900164,-2000.0,True,False
391,524838.106965,774475.744082,-2000.0,True,False
392,525046.440298,774836.588,-2000.0,True,False
393,525254.773631,775197.431918,-2000.0,True,False
394,525463.106965,775558.275836,-2000.0,True,False
395,525671.440298,775919.119755,-2000.0,True,False
396,525879.773631,776279.963673,-2000.0,True,False
397,526088.106965,776640.807591,-2000.0,True,False
398,526296.440298,777001.651509,-2000.0,True,False
399,526504.773631,777362.495428,-2000.0,True,False
400,526921.440298,778084.183264,-2000.0,True,False
401,527754.773631,779527.558937,-2000.0,True,False
402,529004.773631,781692.622447,-2000.0,True,False
403,530671.440298,784579.373793,-2000.0,True,False
404,532754.773631,788187.812975,-2000.0,True,False
405,535254.773631,792517.939994,-2000.0,True,False
406,514405.094263,757405.236006,-2000.0,True,False
407,516905.094263,761735.363025,-2000.0,True,False
408,518988.427596,765343.802207,-2000.0,True,False
409,520655.094263,768230.553553,-2000.0,True,False
410,521905.094263,770395.617063,-2000.0,True,False
411,522738.427596,771838.992736,-2000.0,True,False
412,523155.094263,772560.680572,-2000.0,True,False
413,523363.427596,772921.524491,-2000.0,True,False
414,523571.76093,773282.368409,-2000.0,True,False
415,523780.094263,773643.212327,-2000.0,True,False
416,523988.427596,774004.056245,-2000.0,True,False
417,524196.76093,774364.900164,-2000.0,True,False
418,524405.094263,774725.744082,-2000.0,True,False
419,524613.427596,775086.588,-2000.0,True,False
420,524821.76093,775447.431918,-2000.0,True,False
421,525030.094263,775808.275836,-2000.0,True,False
422,525238.427596,776169.119755,-2000.0,True,False
423,525446.76093,776529.963673,-2000.0,True,False
424,525655.094263,776890.807591,-2000.0,True,False
425,525863.427596,777251.651509,-2000.0,True,False
426,526071.76093,777612.495428,-2000.0,True,False
427,526488.427596,778334.183264,-2000.0,True,False
428,527321.76093,779777.558937,-2000.0,True,False
429,528571.76093,781942.622447,-2000.0,True,False
430,530238.427596,784829.373793,-2000.0,True,False
431,532321.76093,788437.812975,-2000.0,True,False
432,534821.76093,792767.939994,-2000.0,True,False
433,513972.081561,757655.236006,-2000.0,True,False
434,516472.081561,761985.363025,-2000.0,True,False
435,518555.414894,765593.802207,-2000.0,True,False
436,520222.081561,768480.553553,-2000.0,True,False
437,521472.081561,770645.617063,-2000.0,True,False
438,522305.414894,772088.992736,-2000.0,True,False
439,522722.081561,772810.680572,-2000.0,True,False
440,522930.414894,773171.524491,-2000.0,True,False
441,523138.748228,773532.368409,-2000.0,True,False
442,523347.081561,773893.212327,-2000.0,True,False
443,523555.414894,774254.056245,-2000.0,True,False
444,523763.748228,774614.900164,-2000.0,True,False
445,523972.081561,774975.744082,-2000.0,True,False
446,524180.414894,775336.588,-2000.0,True,False
447,524388.748228,775697.431918,-2000.0,True,False
448,524597.081561,776058.275836,-2000.0,True,False
449,524805.414894,776419.119755,-2000.0,True,False
450,525013.748228,776779.963673,-2000.0,True,False
451,525222.081561,777140.807591,-2000.0,True,False
452,525430.414894,777501.651509,-2000.0,True,False
453,525638.748228,777862.495428,-2000.0,True,False
454,526055.414894,778584.183264,-2000.0,True,False
455,526888.748228,780027.558937,-2000.0,True,False
456,528138.748228,782192.622447,-2000.0,True,False
457,529805.414894,785079.373793,-2000.0,True,False
458,531888.748228,788687.812975,-2000.0,True,False
459,534388.748228,793017.939994,-2000.0,True,False
460,513539.068859,757905.236006,-2000.0,True,False
461,516039.068859,762235.363025,-2000.0,True,False
462,518122.402192,765843.802207,-2000.0,True,False
463,519789.068859,768730.553553,-2000.0,True,False
464,521039.068859,770895.617063,-2000.0,True,False
465,521872.402192,772338.992736,-2000.0,True,False
466,522289.068859,773060.680572,-2000.0,True,False
467,522497.402192,773421.524491,-2000.0,True,False
468,522705.735526,773782.368409,-2000.0,True,False
469,522914.068859,774143.212327,-2000.0,True,False
470,523122.402192,774504.056245,-2000.0,True,False
471,523330.735526,774864.900164,-2000.0,True,False
