ni,x,y,z,active,is_top
18126,526079.933947,777126.651509,500.0,True,False
18127,526176.087793,777293.194856,500.0,True,False
18128,526368.395486,777626.28155,500.0,True,False
18129,526753.01087,778292.454938,500.0,True,False
18130,527329.933947,779291.715019,500.0,True,False
18131,528099.164716,780624.061794,500.0,True,False
18132,529060.703178,782289.495263,500.0,True,False
18133,530214.549332,784288.015425,500.0,True,False
18134,531560.703178,786619.622282,500.0,True,False
18135,533099.164716,789284.315832,500.0,True,False
18136,516344.196827,760763.860168,500.0,True,True
18137,517882.658365,763428.553718,500.0,True,True
18138,519228.812212,765760.160575,500.0,True,True
18139,520382.658365,767758.680737,500.0,True,True
18140,521344.196827,769424.114206,500.0,True,False
18141,522113.427596,770756.460981,500.0,True,False
18142,522690.350673,771755.721062,500.0,True,False
18143,523074.966058,772421.89445,500.0,True,False
18144,523267.27375,772754.981144,500.0,True,False
18145,523363.427596,772921.524491,500.0,True,False
18146,523459.581442,773088.067837,500.0,True,False
18147,523555.735289,773254.611184,500.0,True,False
18148,523651.889135,773421.154531,500.0,True,False
18149,523748.042981,773587.697878,500.0,True,False
18150,523844.196827,773754.241225,500.0,True,False
18151,523940.350673,773920.784572,500.0,True,False
18152,524036.504519,774087.327919,500.0,True,False
18153,524132.658365,774253.871266,500.0,True,False
18154,524228.812212,774420.414612,500.0,True,False
18155,524324.966058,774586.957959,500.0,True,False
18156,524421.119904,774753.501306,500.0,True,False
18157,524517.27375,774920.044653,500.0,True,False
